Sun Oct 14 14:09:38 2018    profiling.txt

         11793505 function calls (11619950 primitive calls) in 79.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8110    0.018    0.000    0.284    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/errors.py:17(normalize_kernel_dimensions)
        1    0.000    0.000    0.283    0.283 /home/jaurim/anaconda3/lib/python3.7/site-packages/sklearn/preprocessing/__init__.py:4(<module>)
       84    0.001    0.000    0.278    0.003 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/ir/module.py:225(__repr__)
        1    0.000    0.000    0.277    0.277 /home/jaurim/anaconda3/lib/python3.7/site-packages/sklearn/preprocessing/data.py:9(<module>)
       84    0.001    0.000    0.275    0.003 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/ir/module.py:199(_get_body_lines)
        1    0.000    0.000    0.275    0.275 /home/jaurim/anaconda3/lib/python3.7/site-packages/matplotlib/pylab.py:214(<module>)
       84    0.001    0.000    0.275    0.003 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/ir/module.py:204(<listcomp>)
        1    0.000    0.000    0.273    0.273 /home/jaurim/anaconda3/lib/python3.7/site-packages/scipy/stats/__init__.py:342(<module>)
60555/27024    0.073    0.000    0.271    0.000 {method 'format' of 'str' objects}
       65    0.000    0.000    0.270    0.004 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/ir/values.py:654(__str__)
       65    0.000    0.000    0.269    0.004 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/ir/values.py:647(descr)
    16220    0.074    0.000    0.267    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/errors.py:22(check_dim)
     8110    0.047    0.000    0.260    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1434(configure)
    29897    0.155    0.000    0.259    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/dummyarray.py:194(_compute_layout)
        1    0.000    0.000    0.258    0.258 /home/jaurim/anaconda3/lib/python3.7/site-packages/scipy/stats/stats.py:156(<module>)
       17    0.000    0.000    0.258    0.015 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/ir/values.py:640(descr_body)
      294    0.001    0.000    0.257    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/ir/values.py:780(descr)
     4586    0.256    0.000    0.256    0.000 {method 'copy' of 'numpy.ndarray' objects}
      874    0.014    0.000    0.256    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      294    0.005    0.000    0.256    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/ir/values.py:782(<listcomp>)
     8542    0.015    0.000    0.254    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/lib/stride_tricks.py:138(broadcast_to)
41362/16551    0.038    0.000    0.252    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/ir/_utils.py:40(__str__)
        1    0.000    0.000    0.250    0.250 /home/jaurim/anaconda3/lib/python3.7/site-packages/matplotlib/pyplot.py:19(<module>)
        1    0.000    0.000    0.250    0.250 /home/jaurim/anaconda3/lib/python3.7/site-packages/scipy/stats/distributions.py:8(<module>)
   114026    0.111    0.000    0.243    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/devices.py:107(current_context)
     8542    0.176    0.000    0.239    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/lib/stride_tricks.py:115(_broadcast_to)
   137205    0.058    0.000    0.234    0.000 /home/jaurim/anaconda3/lib/python3.7/abc.py:137(__instancecheck__)
    29897    0.121    0.000    0.225    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1252(__init__)
   114028    0.113    0.000    0.223    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/servicelib/threadlocal.py:33(is_empty)
     8549    0.075    0.000    0.218    0.000 /home/jaurim/anaconda3/lib/python3.7/copy.py:66(copy)
        5    0.000    0.000    0.215    0.043 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/compiler.py:447(stage_nopython_frontend)
    11571    0.040    0.000    0.215    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/ir/values.py:210(_to_string)
